question_id,schema_version,category,topic,status,source_id,pdf_page,printed_page,content_review,japanese_review,indonesian_review,furigana_review,japanese_learning_review,answer_leak_review,rights_review,user_approval,language_point_keys,question_ja,notes,pilot_set,source_title,source_edition,source_section,current_reviewer_type,current_reviewed_at,device_review,correction_notes
q011,0.3.0,肉用牛,経営形態,source_checked,livestock-textbook-2023-09,13,7,pass,pass,pending_native_review,,,,pass,pending,,肉用牛の繁殖経営で、子牛を肥育素牛として出荷する時期の目安はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q012,0.3.0,肉用牛,肥育期間,source_checked,livestock-textbook-2023-09,13,7,pass,pass,pending_native_review,,,,pass,pending,,和牛の一般的な出荷月齢の目安として、教材に最も近いものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q013,0.4.0,肉用牛,交雑種,source_checked,livestock-textbook-2023-09,14,8,pass,pass,pending_native_review,pending,pending,pending,pass,pending,purpose,乳牛に和牛の精液を人工授精して交雑種子牛を産ませる利点として、教材が挙げるものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,D,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／牛肉生産（その他）,ai_source_review,2026-08-11,pending,
q014,0.3.0,肉用牛,個体管理,source_checked,livestock-textbook-2023-09,16,10,pass,pass,pending_native_review,,,,pass,pending,,日本で牛の個体識別のために装着するものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q015,0.3.0,豚,品種,source_checked,livestock-textbook-2023-09,18,12,pass,pass,pending_native_review,,,,pass,pending,,日本で主に飼養されている豚の3品種はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q016,0.4.0,豚,交配,source_checked,livestock-textbook-2023-09,19,13,pass,pass,pending_native_review,pending,pending,pending,pass,pending,which,代表的な三元交配で、LとWから作った母豚に交配する雄の品種はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,D,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／代表的な三元交配,ai_source_review,2026-08-11,pending,
q017,0.3.0,豚,繁殖,source_checked,livestock-textbook-2023-09,20,14,pass,pass,pending_native_review,,,,pass,pending,,豚の妊娠期間として正しいものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q018,0.3.0,豚,繁殖,source_checked,livestock-textbook-2023-09,20,14,pass,pass,pending_native_review,,,,pass,pending,,母豚の1回の産子数として、教材に示される範囲はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q019,0.3.0,豚,肥育,source_checked,livestock-textbook-2023-09,20,14,pass,pass,pending_native_review,,,,pass,pending,,肥育豚の一般的な出荷時期と体重の組合せとして、教材に沿うものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q020,0.3.0,豚,繁殖,source_checked,livestock-textbook-2023-09,21,15,pass,pass,pending_native_review,,,,pass,pending,,豚の発情周期として正しいものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q021,0.3.0,豚,給餌,source_checked,livestock-textbook-2023-09,22,16,pass,pass,pending_native_review,,,,pass,pending,,豚の給餌方法の組合せとして、教材に沿うものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q022,0.3.0,豚,温度管理,source_checked,livestock-textbook-2023-09,24,18,pass,pass,pending_native_review,,,,pass,pending,,生後1週間の子豚に望ましい環境温度の考え方として、教材に沿うものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q023,0.3.0,採卵鶏,品種,source_checked,livestock-textbook-2023-09,27,21,pass,pass,pending_native_review,,,,pass,pending,,白色卵を産む代表的な採卵鶏の品種はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q024,0.3.0,採卵鶏,ふ化,source_checked,livestock-textbook-2023-09,28,22,pass,pass,pending_native_review,,,,pass,pending,,鶏の種卵がふ化するまでの日数は、通常どれくらいですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q025,0.3.0,採卵鶏,産卵,source_checked,livestock-textbook-2023-09,28,22,pass,pass,pending_native_review,,,,pass,pending,,採卵鶏が産卵を始める時期の目安はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q026,0.3.0,採卵鶏,産卵,source_checked,livestock-textbook-2023-09,28,22,pass,pass,pending_native_review,,,,pass,pending,,採卵鶏の産卵ピークの時期として、教材に示される目安はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q027,0.3.0,採卵鶏,出荷,source_checked,livestock-textbook-2023-09,28,22,pass,pass,pending_native_review,,,,pass,pending,,採卵鶏を廃鶏として出荷する時期の目安はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q028,0.3.0,採卵鶏,飼料,source_checked,livestock-textbook-2023-09,29,23,pass,pass,pending_native_review,,,,pass,pending,,採卵鶏が多く必要とする無機質の組合せはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q029,0.4.0,採卵鶏,防疫,source_checked,livestock-textbook-2023-09,30,24,pass,pass,pending_native_review,pending,pending,pending,pass,pending,procedure_first,鶏舎の近くで野鳥の死体を発見したとき、最初に取るべき行動はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,C,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／鳥インフルエンザ,ai_source_review,2026-08-11,pending,
q030,0.3.0,肉用鶏,品種,source_checked,livestock-textbook-2023-09,31,25,pass,pass,pending_native_review,,,,pass,pending,,ブロイラーの基礎となる代表的な交配の組合せはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q031,0.3.0,肉用鶏,出荷,source_checked,livestock-textbook-2023-09,32,26,pass,pass,pending_native_review,,,,pass,pending,,ブロイラーの一般的な飼育期間と出荷体重の組合せとして、教材に沿うものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q032,0.3.0,肉用鶏,地鶏,source_checked,livestock-textbook-2023-09,32,26,pass,pass,pending_native_review,,,,pass,pending,,地鶏に必要な最低飼育期間として、教材に示されるものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q033,0.4.0,安全衛生,労務管理,source_checked,safety-textbook-2023-09,3,1,pass,pass,pending_native_review,pending,pending,pending,pass,pending,not_included,次のうち、賃金支払いの5原則に含まれないものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,B,農業技能測定試験2号 学習用テキスト 安全衛生管理,2023-09,労務管理／賃金,ai_source_review,2026-08-11,pending,
q034,0.3.0,安全衛生,労務管理,source_checked,safety-textbook-2023-09,3,1,pass,pass,pending_native_review,,,,pass,pending,,農業における深夜業の時間帯として、教材が示すものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q035,0.4.0,安全衛生,労務管理,source_checked,safety-textbook-2023-09,5,3,pass,pass,pending_native_review,pending,pending,pending,pass,pending,condition|at_least,6か月継続勤務し、全労働日の8割以上勤務した場合に最初に付与される年次有給休暇は何日ですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,A,農業技能測定試験2号 学習用テキスト 安全衛生管理,2023-09,労務管理／年次有給休暇,ai_source_review,2026-08-11,pending,
q036,0.3.0,安全衛生,熱中症,source_checked,safety-textbook-2023-09,28,26,pass,pass,pending_native_review,,,,pass,pending,,重症の熱中症にみられる症状はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q037,0.3.0,安全衛生,熱中症,source_checked,safety-textbook-2023-09,30,28,pass,pass,pending_native_review,,,,pass,pending,,熱中症に関係する3要素の組合せはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q038,0.3.0,安全衛生,熱中症,source_checked,safety-textbook-2023-09,31,29,pass,pass,pending_native_review,,,,pass,pending,,暑い時期の水分補給方法として、教材に最も沿うものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q039,0.3.0,安全衛生,単独作業,source_checked,safety-textbook-2023-09,31,29,pass,pass,pending_native_review,,,,pass,pending,,やむを得ず一人で作業するときの対応として、最も適切なものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q040,0.3.0,安全衛生,家畜事故,source_checked,safety-textbook-2023-09,43,41,pass,pass,pending_native_review,,,,pass,pending,,教材で、家畜による負傷事故の8割以上を占めるとされる家畜はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q041,0.3.0,安全衛生,服装,source_checked,safety-textbook-2023-09,44,42,pass,pass,pending_native_review,,,,pass,pending,,作業中のタオルの扱いとして適切なものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q042,0.3.0,安全衛生,機械安全,source_checked,safety-textbook-2023-09,46,44,pass,pass,pending_native_review,,,,pass,pending,,機械が作動しているときの行動として正しいものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q043,0.3.0,安全衛生,トラクター,source_checked,safety-textbook-2023-09,47,45,pass,pass,pending_native_review,,,,pass,pending,,トラクターの転落・転倒事故に備える装備として、最も適切な組合せはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q044,0.4.0,安全衛生,刈払機,source_checked,safety-textbook-2023-09,48,46,pass,pass,pending_native_review,pending,pending,pending,pass,pending,at_least,複数人で刈払機作業をするときに必要な作業者間の距離はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,C,農業技能測定試験2号 学習用テキスト 安全衛生管理,2023-09,畜産農業／刈払機,ai_source_review,2026-08-11,pending,
q045,0.4.0,肉用牛,実技・測定,source_checked,livestock-textbook-2023-09,16,10,pass,pass,pending_native_review,pending,pending,pending,pass,pending,not_included,肉用牛の発育確認で用いる主な測定部位に含まれないものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,B,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／肉用牛の飼養管理,ai_source_review,2026-08-11,pending,[answer-leak][known][pending] 正答dだけchoice.easyJaがchoice.jaと同一で他3件と異なる表示規則だった。正答DのeasyJaが原文と同じで学習補助としての追加価値が不明。学習者画面では回答前後とも選択肢easyJaを表示しない。データは人手レビュー用に保持し人手ゲートで修正文案確定後に別PRで問題JSONと生成物を更新し全16問を回帰確認する。
q046,0.3.0,豚,実技・ボディコンディション,source_checked,livestock-textbook-2023-09,25,19,pass,pass,pending_native_review,,,,pass,pending,,母豚のボディコンディションスコアで「理想的」とされる値はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q047,0.3.0,採卵鶏,実技・卵選別,source_checked,livestock-textbook-2023-09,156,150,pass,pass,pending_native_review,,,,pass,pending,,採卵鶏の実技試験向け観察項目として教材に挙げられているものはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q048,0.3.0,安全衛生,実技・農場入場,source_checked,livestock-textbook-2023-09,157,151,pass,pass,pending_native_review,,,,pass,pending,,農場外から来た人に求める入場時の対応はどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q049,0.4.0,安全衛生,実技・希釈計算,source_checked,livestock-textbook-2023-09,157,151,pass,pass,pending_native_review,pending,pending,pending,pass,pending,calculation,"1,000倍液の消毒液を20L作るとき、必要な原液量は何mLですか。",既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,A,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅲ 日常管理／消毒液の希釈方法,ai_source_review,2026-08-11,pending,
q050,0.3.0,安全衛生,実技・畜舎服装,source_checked,livestock-textbook-2023-09,157,151,pass,pass,pending_native_review,,,,pass,pending,,畜舎へ入る時の服装確認として、教材に沿う組合せはどれですか。,既存50問を出典ページと再照合。インドネシア語はネイティブ確認前。,,,,,,,,
q051,0.3.0,肉用鶏,飼育方式,source_checked,livestock-textbook-2023-09,102,96,pass,pass,pending_native_review,,,,pass,pending,,ブロイラーで一般的な飼育方式はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q052,0.3.0,肉用鶏,敷料,source_checked,livestock-textbook-2023-09,102,96,pass,pass,pending_native_review,,,,pass,pending,,ブロイラー鶏舎の敷料の厚さとして、教材に沿うものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q053,0.3.0,肉用鶏,敷料,source_checked,livestock-textbook-2023-09,102,96,pass,pass,pending_native_review,,,,pass,pending,,ブロイラー鶏舎に厚い敷料を入れる主な効果の一つはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q054,0.3.0,肉用鶏,鶏舎,source_checked,livestock-textbook-2023-09,102,96,pass,pass,pending_native_review,,,,pass,pending,,開放型鶏舎の特徴として正しいものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q055,0.4.0,肉用鶏,鶏舎,source_checked,livestock-textbook-2023-09,103,97,pass,pass,pending_native_review,pending,pending,pending,pass,pending,correct_statement,ウインドウレス鶏舎の光線管理と換気の組合せとして正しいものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,D,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅱ 家畜と飼料に関する基礎知識／ウインドウレス鶏舎,ai_source_review,2026-08-11,pending,[answer-leak][known][pending] 正答aだけchoice.easyJaがchoice.jaと同一で他3件と異なる表示規則だった。easyJaで限定表現「だけ」が失われる選択肢あり。学習者画面では回答前後とも選択肢easyJaを表示しない。データは人手レビュー用に保持し人手ゲートで修正文案確定後に別PRで問題JSONと生成物を更新し全16問を回帰確認する。
q056,0.3.0,肉用鶏,鶏舎,source_checked,livestock-textbook-2023-09,103,97,pass,pass,pending_native_review,,,,pass,pending,,ウインドウレス鶏舎について、教材に沿う説明はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q057,0.4.0,肉用鶏,給温,source_checked,livestock-textbook-2023-09,103,97,pass,pass,pending_native_review,pending,pending,pending,pass,pending,according_to_source,床面給温法の利点として、教材に沿うものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,C,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅱ 家畜と飼料に関する基礎知識／床面給温法,ai_source_review,2026-08-11,pending,
q058,0.3.0,肉用鶏,育すう器具,source_checked,livestock-textbook-2023-09,103,97,pass,pass,pending_native_review,,,,pass,pending,,チックガードの高さの目安はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q059,0.3.0,肉用鶏,育すう器具,source_checked,livestock-textbook-2023-09,104,98,pass,pass,pending_native_review,,,,pass,pending,,チックガードを取り去る時期の組合せとして、教材に沿うものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q060,0.3.0,肉用鶏,給餌器,source_checked,livestock-textbook-2023-09,104,98,pass,pass,pending_native_review,,,,pass,pending,,ひなの餌付けに使う器具はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q061,0.3.0,肉用鶏,給水器,source_checked,livestock-textbook-2023-09,104,98,pass,pass,pending_native_review,,,,pass,pending,,ニップルドリンカーを使用するときに調整するものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q062,0.3.0,肉用鶏,給餌,source_checked,livestock-textbook-2023-09,104,98,pass,pass,pending_native_review,,,,pass,pending,,ブロイラーへの配合飼料の与え方として、教材に沿うものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q063,0.3.0,肉用鶏,休薬飼料,source_checked,livestock-textbook-2023-09,104,98,pass,pass,pending_native_review,,,,pass,pending,,食用として出荷するブロイラーに休薬飼料を与える期間は、教材では最低何日ですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q064,0.3.0,肉用鶏,飼料原料,source_checked,livestock-textbook-2023-09,32,26,pass,pass,pending_native_review,,,,pass,pending,,ブロイラー用配合飼料の主なエネルギー源はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q065,0.3.0,肉用鶏,施設衛生,source_checked,livestock-textbook-2023-09,33,27,pass,pass,pending_native_review,,,,pass,pending,,ブロイラー鶏舎の衛生管理として正しい組合せはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q066,0.3.0,肉用鶏,換気,source_checked,livestock-textbook-2023-09,33,27,pass,pass,pending_native_review,,,,pass,pending,,成長が早いブロイラーで特に注意する管理はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q067,0.3.0,採卵鶏,品種,source_checked,livestock-textbook-2023-09,27,21,pass,pass,pending_native_review,,,,pass,pending,,褐色卵を産む代表的な採卵鶏はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q068,0.3.0,採卵鶏,ワクチン,source_checked,livestock-textbook-2023-09,30,24,pass,pass,pending_native_review,,,,pass,pending,,感染力が強い鶏の病気への対応として正しいものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q069,0.3.0,乳用牛,体温,source_checked,livestock-textbook-2023-09,10,4,pass,pass,pending_native_review,,,,pass,pending,,乳牛の平常時の体温として最も適切なものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q070,0.3.0,乳用牛,乳質検査,source_checked,livestock-textbook-2023-09,10,4,pass,pass,pending_native_review,,,,pass,pending,,乳質の衛生的品質を調べる項目の組合せはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q071,0.3.0,乳用牛,暑熱管理,source_checked,livestock-textbook-2023-09,11,5,pass,pass,pending_native_review,,,,pass,pending,,環境温度が上昇した乳牛の変化として正しいものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q072,0.3.0,肉用牛,子牛管理,source_checked,livestock-textbook-2023-09,16,10,pass,pass,pending_native_review,,,,pass,pending,,出生直後の子牛に最も重要な対応はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q073,0.3.0,豚,品種,source_checked,livestock-textbook-2023-09,18,12,pass,pass,pending_native_review,,,,pass,pending,,白色で胴が長く、耳が垂れ、産子数が多い豚はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q074,0.3.0,豚,品種,source_checked,livestock-textbook-2023-09,18,12,pass,pass,pending_native_review,,,,pass,pending,,白色で耳が立ち、繁殖能力に優れる豚はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q075,0.3.0,豚,品種,source_checked,livestock-textbook-2023-09,18,12,pass,pass,pending_native_review,,,,pass,pending,,茶色から黒色で耳が垂れ、発育が早い豚はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q076,0.3.0,豚,交配,source_checked,livestock-textbook-2023-09,19,13,pass,pass,pending_native_review,,,,pass,pending,,品種を交雑して子の生産性が上がることを何といいますか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q077,0.3.0,豚,繁殖,source_checked,livestock-textbook-2023-09,20,14,pass,pass,pending_native_review,,,,pass,pending,,母豚の最初の交配時期と体重の目安はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,,,,,,,,
q078,0.4.0,豚,飼料形状,source_checked,livestock-textbook-2023-09,22,16,pass,pass,pending_native_review,pending,pending,pending,pass,pending,not_listed,豚の飼料の形状として教材に挙げられていないものはどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,B,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／豚の飼料,ai_source_review,2026-08-11,pending,[answer-leak][known][pending] 正答dだけchoice.easyJaがchoice.jaと相違し他3件は同一という表示規則だった。正答DのeasyJaで「塊」が失われる。学習者画面では回答前後とも選択肢easyJaを表示しない。データは人手レビュー用に保持し人手ゲートで修正文案確定後に別PRで問題JSONと生成物を更新し全16問を回帰確認する。
q079,0.4.0,軽種馬,繁殖,source_checked,livestock-textbook-2023-09,34,28,pass,pass,pending_native_review,pending,pending,pending,pass,pending,only,競馬に使用できるサラブレッドの生産方法はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,D,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／軽種馬,ai_source_review,2026-08-11,pending,[answer-leak][known][pending] 正答aだけchoice.easyJaがchoice.jaと同一で他3件と異なる表示規則だった。easyJaで限定表現「だけ」が失われる選択肢あり。学習者画面では回答前後とも選択肢easyJaを表示しない。データは人手レビュー用に保持し人手ゲートで修正文案確定後に別PRで問題JSONと生成物を更新し全16問を回帰確認する。
q080,0.4.0,養蜂,種類,source_checked,livestock-textbook-2023-09,37,31,pass,pass,pending_native_review,pending,pending,pending,pass,pending,most_of,日本で家畜として飼われているミツバチの大部分はどれですか。,出典ページと正答を照合済み。インドネシア語はネイティブ確認前。,B,農業技能測定試験2号 学習用テキスト 畜産農業全般,2023-09,Ⅰ 畜産の特徴／養蜂,ai_source_review,2026-08-11,pending,
